Kodas:;Pavadinimas:;mato vnt:;Ilgis:;Kaina:;Paveikslėlio adresas:;Spalvos RAL;Svoris:;Filtras:;Part name:;Filter en;Kategorija
ALT.100.0101;"Staktos šonas 60mm ""2T""";m;"7;1";6,73;ALT.100.0101;"7016; 8017";602;Rėminė AL100;"Wall ""2""";Frame AL100;Profiliai
ALT.100.0102;"Staktos viršus ""2 T""";m;"6.5;1";7,23;ALT.100.0102;"7016; 8017";647;Rėminė AL100;"Upper track ""2T""";Frame AL100;Profiliai
ALT.100.0103;"Staktos apačia ""2 T""";m;"6.5;1";8,26;ALT.100.0103;"7016; 8017";739;Rėminė AL100;"Down track ""2T""";Frame AL100;Profiliai
ALT.100.0107;"Staktos šonas 90mm ""3T""";m;"7;1";8,93;ALT.100.0107;"7016; 8017";796;Rėminė AL100;"Wall ""3""";Frame AL100;Profiliai
ALT.100.0108;"Staktos viršus 90mm ""3T""";m;"5.5;6;1";10,18;ALT.100.0108;"7016; 8017";912;Rėminė AL100;"Upper track ""3T""";Frame AL100;Profiliai
ALT.100.0109;"Staktos apačia 90mm ""3T""";m;"5.5;6;1";11,85;ALT.100.0109;"7016; 8017";1057;Rėminė AL100;"Down track ""3T""";Frame AL100;Profiliai
ALT.100.0114;"Staktos šonas 90mm ""4T""";m;"7;1";11,83;ALT.100.0114;"7016; 8017";977;Rėminė AL100;"Wall ""4""";Frame AL100;Profiliai
ALT.100.0115;"Staktos viršus 90mm ""4T""";m;"4.2;1";13,09;ALT.100.0115;"7016; 8017";1179;Rėminė AL100;"Upper track ""4T""";Frame AL100;Profiliai
ALT.100.0116;"Staktos apačia 90mm ""4T""";m;"4.2;1";16,18;ALT.100.0116;"7016; 8017";1451;Rėminė AL100;"Down track ""4T""";Frame AL100;Profiliai
ALT.100.0202;Varčios šonas;m;"6.8;1";5,90;ALT.100.0202;"7016; 8017";526;Rėminė AL100;Handle profile;Frame AL100;Profiliai
ALT.100.0206;Varčios centrinis;m;"6.8;1";5,71;ALT.100.0206;"7016; 8017";510;Rėminė AL100;Central profile;Frame AL100;Profiliai
ALT.100.0203;Varčios horizontalus;m;"6.5;1";5,52;ALT.100.0203;"7016; 8017";492;Rėminė AL100;Horizontal profile;Frame AL100;Profiliai
